Date,Open,High,Low,Close,Volume
8/3/2015 16:00:00,104.59,104.82,104.05,104.1,3528596
8/4/2015 16:00:00,104.56,104.75,103.95,104.31,3241016
8/5/2015 16:00:00,104.42,104.5,103.78,103.93,5041015
8/6/2015 16:00:00,104.15,104.86,104.14,104.39,3908124
8/7/2015 16:00:00,104.56,105.38,104.55,104.65,4400915
8/10/2015 16:00:00,105.03,106.27,104.92,105.72,5892602
8/11/2015 16:00:00,106.49,106.63,105.77,106.26,4060892
8/12/2015 16:00:00,106.99,107.91,106.93,107.75,10022547
8/13/2015 16:00:00,106.95,107.18,106.71,106.86,4761682
8/14/2015 16:00:00,107.07,107.41,106.54,106.85,3509238
8/17/2015 16:00:00,107.37,107.51,107,107.13,5769080
8/18/2015 16:00:00,106.67,107.33,106.31,107.11,4121839
8/19/2015 16:00:00,107.63,108.67,107.63,108.55,7035087
8/20/2015 16:00:00,109.81,110.61,109.7,110.44,12549017
8/21/2015 16:00:00,110.93,111.33,110.12,111.13,13917638
8/24/2015 16:00:00,111.54,112.12,109.77,110.53,18388730
8/25/2015 16:00:00,110.01,110.05,108.72,109.16,9974186
8/26/2015 16:00:00,107.72,108.06,107.08,107.67,10856643
8/27/2015 16:00:00,107.33,108.04,107.11,107.73,8102071
8/28/2015 16:00:00,108.17,109.3,108.12,108.7,7558923
8/31/2015 16:00:00,108.19,108.92,108.03,108.82,4532081
9/1/2015 16:00:00,109.63,109.77,108.94,109.2,7077848
9/2/2015 16:00:00,109.01,109.34,108.46,108.62,4115731
9/3/2015 16:00:00,107.77,108.32,107.56,107.84,3913100
9/4/2015 16:00:00,107.14,107.56,107.07,107.49,4025022
9/8/2015 16:00:00,107.6,107.94,107.31,107.52,5982061
9/9/2015 16:00:00,106.64,106.71,105.48,106.13,8855138
9/10/2015 16:00:00,106.61,106.7,106.18,106.38,6203955
9/11/2015 16:00:00,105.65,106.2,105.27,106.16,4023894
9/14/2015 16:00:00,105.86,106.39,105.78,106.22,2350848
9/15/2015 16:00:00,105.83,106.06,105.68,105.9,2904958
9/16/2015 16:00:00,106.6,107.71,106.56,107.31,5315633
9/17/2015 16:00:00,107.07,108.58,106.96,108.41,8403849
9/18/2015 16:00:00,109.1,109.38,108.82,109.21,6794284
9/21/2015 16:00:00,108.49,108.66,108.33,108.53,4104752
9/22/2015 16:00:00,107.58,107.96,107.44,107.79,5483262
9/23/2015 16:00:00,108.54,108.64,108.2,108.22,2744177
9/24/2015 16:00:00,109.67,110.82,109.63,110.49,11024343
9/25/2015 16:00:00,109.87,110.03,109.55,109.81,5209493
9/28/2015 16:00:00,108.37,108.91,108.27,108.42,3809622
9/29/2015 16:00:00,108.24,108.69,107.88,107.98,4043592
9/30/2015 16:00:00,106.78,107.08,106.47,106.86,7405576
